player_id,player_name,fargo_rating,rating_status,latest_handicap,handicap_starttime,handicap_tournament_id,games,wins,losses,component
3587297,Didrik V Berg,546.31,anchored,78.0,2021-11-24T17:05:00Z,10951717,45,27,18,1
15567079,Pawel Goik,545.31,anchored,3.0,2026-07-04T08:00:00Z,79932562,164,71,93,1
44478316,Rune Stensvold,543.62,anchored,4.0,2026-07-04T08:00:00Z,79932562,72,35,37,1
1006186,Christian Wikeby,542.97,anchored,1.0,2026-04-03T13:00:00Z,79209838,382,206,176,1
1006479,Sigurd Mølmann,542.84,anchored,45.0,2020-07-08T15:55:00Z,7957658,20,13,7,1
3595353,Knut Holm,542.65,anchored,34.0,2019-02-27T17:00:00Z,4883743,226,145,81,1
25946332,Peder Hammer,542.02,anchored,231.0,2024-12-11T17:00:00Z,52107403,52,31,21,1
12165220,Rune Johnsen,540.29,anchored,,,,88,55,33,1
2354012,Arvydas Gitenis,540.16,anchored,350.0,2024-07-24T16:00:00Z,45923086,51,21,30,1
4743665,Morten Bakken,539.29,anchored,92.0,2022-06-29T16:00:00Z,16490590,49,24,25,1
56994721,Rolf-Tommy Østensson,538.92,anchored,295.0,2026-01-28T17:00:00Z,74911768,84,43,41,1
1027114,Jeremiah Torres,538.91,anchored,3.0,2026-01-31T10:00:00Z,72236716,385,198,187,1
1612715,Kunta Kinte,538.91,anchored,,,,336,190,146,1
1006250,Geir Tollefsrud,538.59,anchored,3.0,2025-12-27T11:00:00Z,71848093,31,15,16,1
1006467,Roy Toycowboy Grimsen,538.49,anchored,381.0,2025-06-04T16:05:00Z,61791286,247,126,121,1
4734030,Ronny,538.35,anchored,,,,224,136,88,1
1006420,Ole Tobias Tanilon Gangfløt,537.84,anchored,0.0,2026-07-13T15:45:00Z,84819610,112,69,43,1
7131339,Roger Mølmann,537.75,anchored,313.0,2025-09-17T16:00:00Z,67973878,1445,809,636,1
6180822,Christian Rundqvist   Trollhättans Bk,537.64,anchored,2.0,2025-07-05T08:00:00Z,59079793,70,32,38,1
77931514,Kevin Le Falconelli,536.98,anchored,,,,19,10,9,1
13988242,Monika Goik,536.88,anchored,4.0,2025-07-05T08:00:00Z,59079793,43,19,24,1
2252446,Tor Bugten,536.8,anchored,320.0,2023-10-25T16:00:00Z,34219687,716,410,306,1
1006333,Kent Hansen,536.25,anchored,378.0,2026-08-10T16:00:00Z,86164780,2917,1428,1489,1
53649337,Erlend Helgesen,535.62,anchored,425.0,2026-09-09T16:00:00Z,87717052,562,274,288,1
1006183,Christel Hanah Johnsen,535.04,anchored,325.0,2023-11-29T17:00:00Z,35172058,156,86,70,1
60502477,Matteo Sevenius,534.62,anchored,1.0,2025-05-16T16:00:00Z,59841952,17,9,8,1
2080241,Michel Mateos,534.59,anchored,,,,26,17,9,1
1161837,Espen Falkenhaug,534.47,anchored,,,,14,5,9,1
40844470,Øyvind Løvseth,533.73,anchored,3.0,2026-07-04T08:00:00Z,79932562,292,133,159,1
76192783,Chris Wells,533.45,anchored,325.0,2026-04-15T16:00:00Z,78942265,46,20,26,1
1047611,Tam,532.14,anchored,,,,13,7,6,1
20010922,Tudor Pauliuc,531.85,anchored,4.0,2025-07-05T08:00:00Z,59079793,108,51,57,1
26088853,Simeon Ivanov,531.69,anchored,350.0,2026-03-11T17:00:00Z,77584183,180,93,87,1
16636270,Stian Wium,531.34,anchored,4.0,2026-01-31T10:00:00Z,72236716,348,173,175,1
3532613,Tom Kristiansen,530.98,anchored,2.0,2025-12-27T11:00:00Z,71848093,125,59,66,1
1934129,Johnny Lotto,530.6,anchored,,,,80,43,37,1
2181146,Mentor Nuredini,530.35,anchored,,,,49,29,20,1
1298131,Jack Nordby,529.91,anchored,369.0,2026-06-01T16:00:00Z,82585786,1370,699,671,1
43051717,Ulrik Enstad,529.82,anchored,,,,8,5,3,1
1006430,Pak San Li,529.53,anchored,,,,126,71,55,1
7131380,Remik kwit,528.94,anchored,175.0,2025-04-02T16:00:00Z,53306617,8,5,3,1
20183539,Casper Herland Aralden,527.55,anchored,,,,15,8,7,1
43980262,Ask Benham,526.99,anchored,3.0,2026-01-31T10:00:00Z,72236716,82,38,44,1
2828304,Robin Nordbøen,526.87,anchored,60.0,2019-01-23T18:00:00Z,3671645,30,15,15,1
1697351,Per Ingvarsson,526.62,anchored,,,,80,46,34,1
5916966,Per Christian Slåtta,526.42,anchored,31.0,2019-08-28T16:45:00Z,6223167,255,141,114,1
8984217,Philip Smith,525.96,anchored,,,,8,4,4,1
1006562,Yousef Austrheim,525.69,anchored,2.0,2026-07-04T08:00:00Z,79932562,252,116,136,1
1277043,Alexander Hagen,525.29,anchored,425.0,2026-03-18T17:00:00Z,77585350,138,66,72,1
7121356,Roger Mølmann,524.35,anchored,57.0,2020-02-12T17:00:00Z,7443104,245,137,108,1
1014093,Espen Tingvoll,524.29,anchored,347.0,2025-05-14T16:00:00Z,53309998,51,23,28,1
9264588,Marcin Lewicki,523.54,anchored,425.0,2025-06-16T16:00:00Z,62204857,18,11,7,1
1006514,Thomas Pedersen,522.89,anchored,85.0,2019-03-20T17:15:00Z,5065455,20,8,12,1
8969328,Trygve Jensen,522.46,anchored,3.0,2021-06-23T16:15:00Z,8893672,28,14,14,1
16144084,Truls Bakken,522.43,anchored,320.0,2026-04-08T16:00:00Z,78942220,930,450,480,1
2052753,Morten Falk,521.72,anchored,56.0,2019-02-06T17:00:00Z,4721264,977,550,427,1
1006174,Børre Kofoed Karaka,521.49,anchored,38.0,2018-09-19T16:00:00Z,3079945,310,160,150,1
1006328,Lioness Princess,521.06,anchored,328.0,2023-02-22T17:00:00Z,21241669,59,26,33,1
1277819,Lasse Kåring,520.77,anchored,429.0,2024-12-18T17:00:00Z,52107430,1315,702,613,1
18904714,Janna Flottorp,519.83,anchored,4.0,2024-12-27T11:00:00Z,52314610,16,5,11,1
1006359,Larry Skogheim,519.32,anchored,2.0,2026-04-03T13:00:00Z,79209838,64,30,34,1
20361406,Amir Khan,519.17,anchored,3.0,2025-12-27T11:00:00Z,71848093,455,219,236,1
67010161,Valtteri Vaherto,519.02,anchored,,,,10,5,5,1
7654643,Raymond Alstad,518.99,anchored,,,,36,18,18,1
1006281,Jan Atle Kofoed,517.76,anchored,377.0,2025-10-15T16:00:00Z,70086943,671,316,355,1
1071778,Deleted Account,516.64,anchored,48.0,2018-03-21T17:25:00Z,2250351,437,225,212,1
13507978,Sondre Noraberg,516.03,anchored,70.0,2022-02-23T17:10:00Z,13488412,35,13,22,1
2653482,Adil Lusjani,515.88,anchored,,,,220,133,87,1
1015952,Marius Farås,515.69,anchored,2.0,2024-12-27T11:00:00Z,52314610,466,228,238,1
18284020,Nomen Nescio,514.56,anchored,0.0,2025-05-16T16:00:00Z,59841952,232,121,111,1
16050145,Linda Dedekam,514.11,anchored,,,,8,5,3,1
1014552,Baard Onsum,513.68,anchored,1.0,2020-11-01T13:00:00Z,8418763,68,34,34,1
71804122,Henning Hagen,512.82,anchored,328.0,2025-12-10T17:00:00Z,73440613,79,36,43,1
16686499,Herman Aleksander Wium,512.73,anchored,3.0,2026-07-04T08:00:00Z,79932562,479,216,263,1
3185355,Ivar Lexi,512.52,anchored,380.0,2026-09-16T16:00:00Z,88468552,1518,688,830,1
39034855,Jonas Nilsson,511.82,anchored,,,,4,2,2,1
1006239,Frank Hjeldnes,511.6,anchored,1.0,2025-12-28T15:00:00Z,74033515,69,35,34,1
1081697,Giena Tanilon,511.35,anchored,3.0,2025-07-05T08:00:00Z,59079793,292,154,138,1
42921529,Joshua Turla Tuppal,511.26,anchored,307.0,2026-09-16T16:00:00Z,88468552,1082,514,568,1
1095179,Ernesto Antonio Meléndez,510.9,anchored,302.0,2026-09-16T16:00:00Z,88468552,646,293,353,1
1957539,Johny Lotto,510.28,anchored,,,,12,6,6,1
21900748,Leoncio Jr Licarte,510.25,anchored,297.0,2025-10-13T16:00:00Z,70078510,72,42,30,1
1393993,Ronny Sørlie,509.95,anchored,54.0,2020-03-11T17:00:00Z,7789761,292,150,142,1
1510340,Andris Viksnins,509.84,anchored,325.0,2026-08-03T16:00:00Z,85939042,3281,1715,1566,1
16476664,Øystein Følling,509.29,anchored,354.0,2026-04-15T16:00:00Z,78942265,1379,653,726,1
